asset,regime_label,window,mean_return,median_return,hit_rate,count
USDCHF,Oil-Led Systemic Stress,60,0.81,-0.13,44.44,9
USDCHF,Oil-Led Systemic Stress,90,-0.81,-1.29,44.44,9
USDJPY,Equity-Led Systemic Stress,30,0.7,-0.42,40.0,5
USDJPY,Equity-Led Systemic Stress,60,3.33,-1.05,40.0,5
USDJPY,Equity-Led Systemic Stress,90,4.33,0.73,80.0,5
USDJPY,Oil-Led Systemic Stress,30,0.09,-1.31,44.44,9
USDJPY,Oil-Led Systemic Stress,60,0.25,-0.98,33.33,9
USDJPY,Oil-Led Systemic Stress,90,0.74,-0.54,44.44,9
USDMXN,Equity-Led Systemic Stress,30,0.87,-0.83,40.0,5
USDMXN,Equity-Led Systemic Stress,60,-0.72,-2.42,20.0,5
USDMXN,Equity-Led Systemic Stress,90,-0.33,-3.57,20.0,5
USDMXN,Oil-Led Systemic Stress,30,3.63,-0.16,44.44,9
USDMXN,Oil-Led Systemic Stress,60,4.82,2.15,55.56,9
USDMXN,Oil-Led Systemic Stress,90,5.17,2.64,66.67,9
USDZAR,Equity-Led Systemic Stress,30,0.13,-2.54,40.0,5
USDZAR,Equity-Led Systemic Stress,60,1.57,-2.92,40.0,5
USDZAR,Equity-Led Systemic Stress,90,2.23,3.34,60.0,5
USDZAR,Oil-Led Systemic Stress,30,2.34,-0.84,22.22,9
USDZAR,Oil-Led Systemic Stress,60,4.21,2.66,66.67,9
USDZAR,Oil-Led Systemic Stress,90,3.5,3.21,66.67,9
WTI,Equity-Led Systemic Stress,30,15.39,7.26,100.0,5
WTI,Equity-Led Systemic Stress,60,14.66,11.37,100.0,5
WTI,Equity-Led Systemic Stress,90,16.58,13.52,100.0,5
WTI,Oil-Led Systemic Stress,30,-10.52,-7.51,33.33,9
WTI,Oil-Led Systemic Stress,60,-6.92,-2.72,44.44,9
WTI,Oil-Led Systemic Stress,90,2.9,-3.78,44.44,9
